crop_id,user_id,rating
100,323,5
100,314,5
100,315,4
100,316,3
100,317,5
100,318,5
100,319,4
100,320,5
100,321,3
100,322,4
101,314,5
101,315,4
101,316,5
101,317,4
101,318,4
101,319,5
101,320,5
101,321,5
101,322,4
101,323,3
102,314,3
102,315,3
102,316,3
102,317,2
102,318,5
102,319,5
102,320,2
102,321,3
102,322,3
102,323,2
103,314,4
103,315,5
103,316,4
103,317,4
103,318,5
103,319,3
103,320,3
103,321,4
103,322,4
103,323,5
104,314,4
104,315,3
104,316,4
104,317,5
104,318,3
104,319,3
104,320,2
104,321,3
104,322,3
104,323,3
105,314,5
105,315,4
105,316,4
105,317,5
105,318,5
105,319,5
105,320,3
105,321,2
105,322,4
105,323,5
106,314,2
106,320,4
106,323,3
106,325,3
106,328,4
106,400,5
106,501,3
106,314,1
106,311,2
106,318,3
106,300,4
107,300,4
107,311,5
107,502,3
107,405,4
107,500,4
107,320,3
107,460,4
107,313,3
107,315,2
107,322,5
107,390,4
108,320,5
108,316,4
108,490,4
108,501,5
108,340,5
108,405,4
108,520,4
108,430,5
108,322,3
108,311,4
108,300,5
109,302,4
109,311,5
109,502,5
109,490,4
109,340,4
109,300,5
109,330,4
109,316,5
109,324,5
109,319,3
109,450,4
110,430,4
110,435,3
110,314,4
110,321,4
110,380,5
110,500,4
110,502,4
110,302,5
110,324,3
110,350,2
110,345,4